HELP_ID	CODE	UMASK	OTHER	COMMON	WEIGHT	COUNTER	NAME	DESCRIPTION	HELP_FILE	OVERFLOW	SAV_LOWER_LIMIT	DEFAULT	CALIBRATION	PRECISE_EVENT	EM TRIGGER
2306	0x09	0x02	0x53	0x5001	0	0,1	MEMORY_DISAMBIGUATION.SUCCESS	Number of loads that were successfully disambiguated	pmm.chm	10000	0	0	1	0	0
3073	0x0C	0x01	0x53	0x9001	0	0,1	PAGE_WALKS.COUNT	Number of page-walks executed.	pmm.chm	10000	0	0	1	0	0
3074	0x0C	0x02	0x53	0x900D	0	0,1	PAGE_WALKS.CYCLES	Duration of page-walks in core cycles	pmm.chm	10000	0	0	1	0	0
4096	0x10	0x00	0x53	0x481	0	0	FP_COMP_OPS_EXE	Floating point computational micro-ops executed.	pmm.chm	500000	0	0	1	0	0
4352	0x11	0x00	0x53	0x89	0	1	FP_ASSIST	Floating point assists.	pmm.chm	100000	0	0	1	0	0
4608	0x12	0x00	0x53	0x81	0	1	MUL	Multiply operations executed.	pmm.chm	1000000	0	0	1	0	0
4864	0x13	0x00	0x53	0x81	0	1	DIV	Divide operations executed.	pmm.chm	1000000	0	0	1	0	0
5120	0x14	0x00	0x53	0x81	0	0	CYCLES_DIV_BUSY	Cycles the divider is busy.	pmm.chm	1000000	0	0	1	0	0
6144	0x18	0x00	0x53	0x289	0	0	IDLE_DURING_DIV	Cycles the divider is busy and all other execution units are idle.	pmm.chm	1000000	0	0	1	0	0
6400	0x19	0x00	0x53	0x800001	0	1	DELAYED_BYPASS.FP	Delayed bypass to FP operation.	pmm.chm	1000000	0	0	1	0	0
6401	0x19	0x01	0x53	0x800001	0	1	DELAYED_BYPASS.SIMD	Delayed bypass to SIMD operation.	pmm.chm	1000000	0	0	1	0	0
6402	0x19	0x02	0x53	0x800001	0	1	DELAYED_BYPASS.LOAD	Delayed bypass to load operation.	pmm.chm	1000000	0	0	1	0	0
8512	0x21	0x40	0x53	0x2001	0	0,1	L2_ADS.SELF	Cycles L2 address bus is in use.	pmm.chm	100000	0	0	1	0	0
8640	0x21	0xC0	0x53	0x2001	0	0,1	L2_ADS.BOTH_CORES	Cycles L2 address bus is in use.	pmm.chm	100000	0	0	1	0	0
9024	0x23	0x40	0x53	0x2001	0	0,1	L2_DBUS_BUSY_RD.SELF	Cycles the L2 transfers data to the core.	pmm.chm	100000	0	0	1	0	0
9152	0x23	0xC0	0x53	0x2001	0	0,1	L2_DBUS_BUSY_RD.BOTH_CORES	Cycles the L2 transfers data to the core.	pmm.chm	100000	0	0	1	0	0
9328	0x24	0x70	0x53	0x200D	0	0,1	L2_LINES_IN.SELF.ANY	L2 cache misses.	pmm.chm	100000	0	0	1	0	0
9280	0x24	0x40	0x53	0x200D	0	0,1	L2_LINES_IN.SELF.DEMAND	L2 cache misses.	pmm.chm	100000	0	0	1	0	0
9296	0x24	0x50	0x53	0x2001	0	0,1	L2_LINES_IN.SELF.PREFETCH	L2 cache misses.	pmm.chm	100000	0	0	1	0	0
9456	0x24	0xF0	0x53	0x2001	0	0,1	L2_LINES_IN.BOTH_CORES.ANY	L2 cache misses.	pmm.chm	100000	0	0	1	0	0
9408	0x24	0xC0	0x53	0x2001	0	0,1	L2_LINES_IN.BOTH_CORES.DEMAND	L2 cache misses.	pmm.chm	100000	0	0	1	0	0
9424	0x24	0xD0	0x53	0x2001	0	0,1	L2_LINES_IN.BOTH_CORES.PREFETCH	L2 cache misses.	pmm.chm	100000	0	0	1	0	0
9536	0x25	0x40	0x53	0x2001	0	0,1	L2_M_LINES_IN.SELF	L2 cache line modifications.	pmm.chm	100000	0	0	1	0	0
9664	0x25	0xC0	0x53	0x2001	0	0,1	L2_M_LINES_IN.BOTH_CORES	L2 cache line modifications.	pmm.chm	100000	0	0	1	0	0
9840	0x26	0x70	0x53	0x2001	0	0,1	L2_LINES_OUT.SELF.ANY	L2 cache lines evicted. 	pmm.chm	100000	0	0	1	0	0
9792	0x26	0x40	0x53	0x2001	0	0,1	L2_LINES_OUT.SELF.DEMAND	L2 cache lines evicted. 	pmm.chm	100000	0	0	1	0	0
9808	0x26	0x50	0x53	0x2001	0	0,1	L2_LINES_OUT.SELF.PREFETCH	L2 cache lines evicted. 	pmm.chm	100000	0	0	1	0	0
9968	0x26	0xF0	0x53	0x2001	0	0,1	L2_LINES_OUT.BOTH_CORES.ANY	L2 cache lines evicted. 	pmm.chm	100000	0	0	1	0	0
9920	0x26	0xC0	0x53	0x2001	0	0,1	L2_LINES_OUT.BOTH_CORES.DEMAND	L2 cache lines evicted. 	pmm.chm	100000	0	0	1	0	0
9936	0x26	0xD0	0x53	0x2001	0	0,1	L2_LINES_OUT.BOTH_CORES.PREFETCH	L2 cache lines evicted. 	pmm.chm	100000	0	0	1	0	0
10096	0x27	0x70	0x53	0x2009	0	0,1	L2_M_LINES_OUT.SELF.ANY	Modified lines evicted from the L2 cache.	pmm.chm	100000	0	0	1	0	0
10048	0x27	0x40	0x53	0x2001	0	0,1	L2_M_LINES_OUT.SELF.DEMAND	Modified lines evicted from the L2 cache.	pmm.chm	100000	0	0	1	0	0
10064	0x27	0x50	0x53	0x2001	0	0,1	L2_M_LINES_OUT.SELF.PREFETCH	Modified lines evicted from the L2 cache.	pmm.chm	100000	0	0	1	0	0
10224	0x27	0xF0	0x53	0x2001	0	0,1	L2_M_LINES_OUT.BOTH_CORES.ANY	Modified lines evicted from the L2 cache.	pmm.chm	100000	0	0	1	0	0
10176	0x27	0xC0	0x53	0x2001	0	0,1	L2_M_LINES_OUT.BOTH_CORES.DEMAND	Modified lines evicted from the L2 cache.	pmm.chm	100000	0	0	1	0	0
10192	0x27	0xD0	0x53	0x2001	0	0,1	L2_M_LINES_OUT.BOTH_CORES.PREFETCH	Modified lines evicted from the L2 cache.	pmm.chm	100000	0	0	1	0	0
10319	0x28	0x4F	0x53	0x2001	0	0,1	L2_IFETCH.SELF.MESI	L2 cacheable instruction fetch requests.	pmm.chm	10000	0	0	1	0	0
10305	0x28	0x41	0x53	0x2009	0	0,1	L2_IFETCH.SELF.I_STATE	L2 cacheable instruction fetch requests.	pmm.chm	10000	0	0	1	0	0
10306	0x28	0x42	0x53	0x2001	0	0,1	L2_IFETCH.SELF.S_STATE	L2 cacheable instruction fetch requests.	pmm.chm	10000	0	0	1	0	0
10308	0x28	0x44	0x53	0x2001	0	0,1	L2_IFETCH.SELF.E_STATE	L2 cacheable instruction fetch requests.	pmm.chm	10000	0	0	1	0	0
10312	0x28	0x48	0x53	0x2001	0	0,1	L2_IFETCH.SELF.M_STATE	L2 cacheable instruction fetch requests.	pmm.chm	10000	0	0	1	0	0
10447	0x28	0xCF	0x53	0x2001	0	0,1	L2_IFETCH.BOTH_CORES.MESI	L2 cacheable instruction fetch requests.	pmm.chm	10000	0	0	1	0	0
10433	0x28	0xC1	0x53	0x2001	0	0,1	L2_IFETCH.BOTH_CORES.I_STATE	L2 cacheable instruction fetch requests.	pmm.chm	10000	0	0	1	0	0
10434	0x28	0xC2	0x53	0x2001	0	0,1	L2_IFETCH.BOTH_CORES.S_STATE	L2 cacheable instruction fetch requests.	pmm.chm	10000	0	0	1	0	0
10436	0x28	0xC4	0x53	0x2001	0	0,1	L2_IFETCH.BOTH_CORES.E_STATE	L2 cacheable instruction fetch requests.	pmm.chm	10000	0	0	1	0	0
10440	0x28	0xC8	0x53	0x2001	0	0,1	L2_IFETCH.BOTH_CORES.M_STATE	L2 cacheable instruction fetch requests.	pmm.chm	10000	0	0	1	0	0
10623	0x29	0x7F	0x53	0x2001	0	0,1	L2_LD.SELF.ANY.MESI	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10609	0x29	0x71	0x53	0x2001	0	0,1	L2_LD.SELF.ANY.I_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10610	0x29	0x72	0x53	0x2001	0	0,1	L2_LD.SELF.ANY.S_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10612	0x29	0x74	0x53	0x2001	0	0,1	L2_LD.SELF.ANY.E_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10616	0x29	0x78	0x53	0x2001	0	0,1	L2_LD.SELF.ANY.M_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10575	0x29	0x4F	0x53	0x2001	0	0,1	L2_LD.SELF.DEMAND.MESI	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10561	0x29	0x41	0x53	0x2001	0	0,1	L2_LD.SELF.DEMAND.I_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10562	0x29	0x42	0x53	0x2001	0	0,1	L2_LD.SELF.DEMAND.S_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10564	0x29	0x44	0x53	0x2001	0	0,1	L2_LD.SELF.DEMAND.E_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10568	0x29	0x48	0x53	0x2001	0	0,1	L2_LD.SELF.DEMAND.M_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10591	0x29	0x5F	0x53	0x2001	0	0,1	L2_LD.SELF.PREFETCH.MESI	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10577	0x29	0x51	0x53	0x2001	0	0,1	L2_LD.SELF.PREFETCH.I_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10578	0x29	0x52	0x53	0x2001	0	0,1	L2_LD.SELF.PREFETCH.S_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10580	0x29	0x54	0x53	0x2001	0	0,1	L2_LD.SELF.PREFETCH.E_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10584	0x29	0x58	0x53	0x2001	0	0,1	L2_LD.SELF.PREFETCH.M_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10751	0x29	0xFF	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.ANY.MESI	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10737	0x29	0xF1	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.ANY.I_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10738	0x29	0xF2	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.ANY.S_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10740	0x29	0xF4	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.ANY.E_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10744	0x29	0xF8	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.ANY.M_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10703	0x29	0xCF	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.DEMAND.MESI	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10689	0x29	0xC1	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.DEMAND.I_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10690	0x29	0xC2	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.DEMAND.S_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10692	0x29	0xC4	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.DEMAND.E_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10696	0x29	0xC8	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.DEMAND.M_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10719	0x29	0xDF	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.PREFETCH.MESI	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10705	0x29	0xD1	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.PREFETCH.I_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10706	0x29	0xD2	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.PREFETCH.S_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10708	0x29	0xD4	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.PREFETCH.E_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10712	0x29	0xD8	0x53	0x2001	0	0,1	L2_LD.BOTH_CORES.PREFETCH.M_STATE	L2 cache reads.	pmm.chm	100000	0	0	1	0	0
10831	0x2A	0x4F	0x53	0x2001	0	0,1	L2_ST.SELF.MESI	L2 store requests.	pmm.chm	100000	0	0	1	0	0
10817	0x2A	0x41	0x53	0x2001	0	0,1	L2_ST.SELF.I_STATE	L2 store requests.	pmm.chm	100000	0	0	1	0	0
10818	0x2A	0x42	0x53	0x2001	0	0,1	L2_ST.SELF.S_STATE	L2 store requests.	pmm.chm	100000	0	0	1	0	0
10820	0x2A	0x44	0x53	0x2001	0	0,1	L2_ST.SELF.E_STATE	L2 store requests.	pmm.chm	100000	0	0	1	0	0
10824	0x2A	0x48	0x53	0x2001	0	0,1	L2_ST.SELF.M_STATE	L2 store requests.	pmm.chm	100000	0	0	1	0	0
10959	0x2A	0xCF	0x53	0x2001	0	0,1	L2_ST.BOTH_CORES.MESI	L2 store requests.	pmm.chm	100000	0	0	1	0	0
10945	0x2A	0xC1	0x53	0x2001	0	0,1	L2_ST.BOTH_CORES.I_STATE	L2 store requests.	pmm.chm	100000	0	0	1	0	0
10946	0x2A	0xC2	0x53	0x2001	0	0,1	L2_ST.BOTH_CORES.S_STATE	L2 store requests.	pmm.chm	100000	0	0	1	0	0
10948	0x2A	0xC4	0x53	0x2001	0	0,1	L2_ST.BOTH_CORES.E_STATE	L2 store requests.	pmm.chm	100000	0	0	1	0	0
10952	0x2A	0xC8	0x53	0x2001	0	0,1	L2_ST.BOTH_CORES.M_STATE	L2 store requests.	pmm.chm	100000	0	0	1	0	0
11087	0x2B	0x4F	0x53	0x12001	0	0,1	L2_LOCK.SELF.MESI	L2 locked accesses.	pmm.chm	10000	0	0	1	0	0
11073	0x2B	0x41	0x53	0x12001	0	0,1	L2_LOCK.SELF.I_STATE	L2 locked accesses.	pmm.chm	10000	0	0	1	0	0
11074	0x2B	0x42	0x53	0x12001	0	0,1	L2_LOCK.SELF.S_STATE	L2 locked accesses.	pmm.chm	10000	0	0	1	0	0
11076	0x2B	0x44	0x53	0x12001	0	0,1	L2_LOCK.SELF.E_STATE	L2 locked accesses.	pmm.chm	10000	0	0	1	0	0
11080	0x2B	0x48	0x53	0x12001	0	0,1	L2_LOCK.SELF.M_STATE	L2 locked accesses.	pmm.chm	10000	0	0	1	0	0
11215	0x2B	0xCF	0x53	0x12001	0	0,1	L2_LOCK.BOTH_CORES.MESI	L2 locked accesses.	pmm.chm	10000	0	0	1	0	0
11201	0x2B	0xC1	0x53	0x12001	0	0,1	L2_LOCK.BOTH_CORES.I_STATE	L2 locked accesses.	pmm.chm	10000	0	0	1	0	0
11202	0x2B	0xC2	0x53	0x12001	0	0,1	L2_LOCK.BOTH_CORES.S_STATE	L2 locked accesses.	pmm.chm	10000	0	0	1	0	0
11204	0x2B	0xC4	0x53	0x12001	0	0,1	L2_LOCK.BOTH_CORES.E_STATE	L2 locked accesses.	pmm.chm	10000	0	0	1	0	0
11208	0x2B	0xC8	0x53	0x12001	0	0,1	L2_LOCK.BOTH_CORES.M_STATE	L2 locked accesses.	pmm.chm	10000	0	0	1	0	0
11903	0x2E	0x7F	0x53	0x2001	0	0,1	L2_RQSTS.SELF.ANY.MESI	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11889	0x2E	0x71	0x53	0x2001	0	0,1	L2_RQSTS.SELF.ANY.I_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11890	0x2E	0x72	0x53	0x2001	0	0,1	L2_RQSTS.SELF.ANY.S_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11892	0x2E	0x74	0x53	0x2001	0	0,1	L2_RQSTS.SELF.ANY.E_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11896	0x2E	0x78	0x53	0x2001	0	0,1	L2_RQSTS.SELF.ANY.M_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11855	0x2E	0x4F	0x53	0x2001	0	0,1	L2_RQSTS.SELF.DEMAND.MESI	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11841	0x2E	0x41	0x53	0x2001	0	0,1	L2_RQSTS.SELF.DEMAND.I_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11842	0x2E	0x42	0x53	0x2001	0	0,1	L2_RQSTS.SELF.DEMAND.S_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11844	0x2E	0x44	0x53	0x2001	0	0,1	L2_RQSTS.SELF.DEMAND.E_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11848	0x2E	0x48	0x53	0x2001	0	0,1	L2_RQSTS.SELF.DEMAND.M_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11871	0x2E	0x5F	0x53	0x2001	0	0,1	L2_RQSTS.SELF.PREFETCH.MESI	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11857	0x2E	0x51	0x53	0x2001	0	0,1	L2_RQSTS.SELF.PREFETCH.I_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11858	0x2E	0x52	0x53	0x2001	0	0,1	L2_RQSTS.SELF.PREFETCH.S_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11860	0x2E	0x54	0x53	0x2001	0	0,1	L2_RQSTS.SELF.PREFETCH.E_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11864	0x2E	0x58	0x53	0x2001	0	0,1	L2_RQSTS.SELF.PREFETCH.M_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12031	0x2E	0xFF	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.ANY.MESI	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12017	0x2E	0xF1	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.ANY.I_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12018	0x2E	0xF2	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.ANY.S_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12020	0x2E	0xF4	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.ANY.E_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12024	0x2E	0xF8	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.ANY.M_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11983	0x2E	0xCF	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.DEMAND.MESI	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11969	0x2E	0xC1	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.DEMAND.I_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11970	0x2E	0xC2	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.DEMAND.S_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11972	0x2E	0xC4	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.DEMAND.E_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11976	0x2E	0xC8	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.DEMAND.M_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11999	0x2E	0xDF	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.PREFETCH.MESI	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11985	0x2E	0xD1	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.PREFETCH.I_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11986	0x2E	0xD2	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.PREFETCH.S_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11988	0x2E	0xD4	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.PREFETCH.E_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
11992	0x2E	0xD8	0x53	0x2001	0	0,1	L2_RQSTS.BOTH_CORES.PREFETCH.M_STATE	L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12415	0x30	0x7F	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.ANY.MESI	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12401	0x30	0x71	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.ANY.I_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12402	0x30	0x72	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.ANY.S_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12404	0x30	0x74	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.ANY.E_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12408	0x30	0x78	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.ANY.M_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12367	0x30	0x4F	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.DEMAND.MESI	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12353	0x30	0x41	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.DEMAND.I_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12354	0x30	0x42	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.DEMAND.S_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12356	0x30	0x44	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.DEMAND.E_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12360	0x30	0x48	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.DEMAND.M_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12383	0x30	0x5F	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.PREFETCH.MESI	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12369	0x30	0x51	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.PREFETCH.I_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12370	0x30	0x52	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.PREFETCH.S_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12372	0x30	0x54	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.PREFETCH.E_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12376	0x30	0x58	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.SELF.PREFETCH.M_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12543	0x30	0xFF	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.BOTH_CORES.ANY.MESI	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12529	0x30	0xF1	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.BOTH_CORES.ANY.I_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12530	0x30	0xF2	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.BOTH_CORES.ANY.S_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12532	0x30	0xF4	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.BOTH_CORES.ANY.E_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12536	0x30	0xF8	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.BOTH_CORES.ANY.M_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12495	0x30	0xCF	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.BOTH_CORES.DEMAND.MESI	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12481	0x30	0xC1	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.BOTH_CORES.DEMAND.I_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12482	0x30	0xC2	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.BOTH_CORES.DEMAND.S_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
12484	0x30	0xC4	0x53	0x6001	0	0,1	L2_REJECT_BUSQ.BOTH_CORES.DEMAND.E_STATE	Rejected L2 cache requests.	pmm.chm	100000	0	0	1	0	0
